"STATE.UT","CRIME.HEAD","number","year"
"Andhra Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",909,"2003"
"Arunachal Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Assam","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Bihar","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1,"2003"
"Chhattisgarh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Goa","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Gujarat","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",14,"2003"
"Haryana","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Himachal Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Jammu & Kashmir","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Jharkhand","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Karnataka","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Kerala","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",16,"2003"
"Madhya Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Maharashtra","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",8,"2003"
"Manipur","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Meghalaya","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Mizoram","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Nagaland","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Odisha","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Punjab","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1,"2003"
"Rajasthan","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",87,"2003"
"Sikkim","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Tamil Nadu","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",6,"2003"
"Tripura","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Uttar Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Uttarakhand","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"West Bengal","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1,"2003"
"A&N Islands","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Chandigarh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"D&N Haveli","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Daman & Diu","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Delhi UT","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Lakshadweep","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"Puducherry","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2003"
"All India","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1043,"2003"
"Andhra Pradesh","TOTAL CRIMES AGAINST WOMEN",18382,"2003"
"Arunachal Pradesh","TOTAL CRIMES AGAINST WOMEN",139,"2003"
"Assam","TOTAL CRIMES AGAINST WOMEN",5312,"2003"
"Bihar","TOTAL CRIMES AGAINST WOMEN",5900,"2003"
"Chhattisgarh","TOTAL CRIMES AGAINST WOMEN",3336,"2003"
"Goa","TOTAL CRIMES AGAINST WOMEN",121,"2003"
"Gujarat","TOTAL CRIMES AGAINST WOMEN",5735,"2003"
"Haryana","TOTAL CRIMES AGAINST WOMEN",4170,"2003"
"Himachal Pradesh","TOTAL CRIMES AGAINST WOMEN",729,"2003"
"Jammu & Kashmir","TOTAL CRIMES AGAINST WOMEN",2164,"2003"
"Jharkhand","TOTAL CRIMES AGAINST WOMEN",2488,"2003"
"Karnataka","TOTAL CRIMES AGAINST WOMEN",5834,"2003"
"Kerala","TOTAL CRIMES AGAINST WOMEN",5653,"2003"
"Madhya Pradesh","TOTAL CRIMES AGAINST WOMEN",14547,"2003"
"Maharashtra","TOTAL CRIMES AGAINST WOMEN",11273,"2003"
"Manipur","TOTAL CRIMES AGAINST WOMEN",137,"2003"
"Meghalaya","TOTAL CRIMES AGAINST WOMEN",69,"2003"
"Mizoram","TOTAL CRIMES AGAINST WOMEN",147,"2003"
"Nagaland","TOTAL CRIMES AGAINST WOMEN",25,"2003"
"Odisha","TOTAL CRIMES AGAINST WOMEN",4946,"2003"
"Punjab","TOTAL CRIMES AGAINST WOMEN",2375,"2003"
"Rajasthan","TOTAL CRIMES AGAINST WOMEN",11812,"2003"
"Sikkim","TOTAL CRIMES AGAINST WOMEN",37,"2003"
"Tamil Nadu","TOTAL CRIMES AGAINST WOMEN",8888,"2003"
"Tripura","TOTAL CRIMES AGAINST WOMEN",537,"2003"
"Uttar Pradesh","TOTAL CRIMES AGAINST WOMEN",12840,"2003"
"Uttarakhand","TOTAL CRIMES AGAINST WOMEN",886,"2003"
"West Bengal","TOTAL CRIMES AGAINST WOMEN",8508,"2003"
"A&N Islands","TOTAL CRIMES AGAINST WOMEN",22,"2003"
"Chandigarh","TOTAL CRIMES AGAINST WOMEN",159,"2003"
"D&N Haveli","TOTAL CRIMES AGAINST WOMEN",13,"2003"
"Daman & Diu","TOTAL CRIMES AGAINST WOMEN",10,"2003"
"Delhi UT","TOTAL CRIMES AGAINST WOMEN",3282,"2003"
"Lakshadweep","TOTAL CRIMES AGAINST WOMEN",4,"2003"
"Puducherry","TOTAL CRIMES AGAINST WOMEN",121,"2003"
"TOTAL Crime against Women","TOTAL CRIMES AGAINST WOMEN",140601,"2003"
"Andhra Pradesh","RAPE",1016,"2004"
"Arunachal Pradesh","RAPE",42,"2004"
"Assam","RAPE",1171,"2004"
"Bihar","RAPE",1390,"2004"
"Chhattisgarh","RAPE",969,"2004"
"Goa","RAPE",37,"2004"
"Gujarat","RAPE",339,"2004"
"Haryana","RAPE",386,"2004"
"Himachal Pradesh","RAPE",153,"2004"
"Jammu & Kashmir","RAPE",218,"2004"
"Jharkhand","RAPE",797,"2004"
"Karnataka","RAPE",291,"2004"
"Kerala","RAPE",480,"2004"
"Madhya Pradesh","RAPE",2875,"2004"
"Maharashtra","RAPE",1388,"2004"
"Manipur","RAPE",31,"2004"
"Meghalaya","RAPE",54,"2004"
"Mizoram","RAPE",20,"2004"
"Nagaland","RAPE",18,"2004"
"Odisha","RAPE",770,"2004"
"Punjab","RAPE",390,"2004"
"Rajasthan","RAPE",1038,"2004"
"Sikkim","RAPE",3,"2004"
"Tamil Nadu","RAPE",618,"2004"
"Tripura","RAPE",160,"2004"
"Uttar Pradesh","RAPE",1397,"2004"
"Uttarakhand","RAPE",115,"2004"
"West Bengal","RAPE",1475,"2004"
"A&N Islands","RAPE",10,"2004"
"Chandigarh","RAPE",19,"2004"
"D&N Haveli","RAPE",7,"2004"
"Daman & Diu","RAPE",1,"2004"
"Delhi UT","RAPE",551,"2004"
"Lakshadweep","RAPE",0,"2004"
"Puducherry","RAPE",4,"2004"
"All India","RAPE",18233,"2004"
"Andhra Pradesh","KIDNAPPING & ABDUCTION",1030,"2004"
"Arunachal Pradesh","KIDNAPPING & ABDUCTION",41,"2004"
"Assam","KIDNAPPING & ABDUCTION",1552,"2004"
"Bihar","KIDNAPPING & ABDUCTION",997,"2004"
"Chhattisgarh","KIDNAPPING & ABDUCTION",174,"2004"
"Goa","KIDNAPPING & ABDUCTION",10,"2004"
"Gujarat","KIDNAPPING & ABDUCTION",905,"2004"
"Haryana","KIDNAPPING & ABDUCTION",292,"2004"
"Himachal Pradesh","KIDNAPPING & ABDUCTION",99,"2004"
"Jammu & Kashmir","KIDNAPPING & ABDUCTION",632,"2004"
"Jharkhand","KIDNAPPING & ABDUCTION",178,"2004"
"Karnataka","KIDNAPPING & ABDUCTION",286,"2004"
"Kerala","KIDNAPPING & ABDUCTION",142,"2004"
"Madhya Pradesh","KIDNAPPING & ABDUCTION",584,"2004"
"Maharashtra","KIDNAPPING & ABDUCTION",787,"2004"
"Manipur","KIDNAPPING & ABDUCTION",71,"2004"
"Meghalaya","KIDNAPPING & ABDUCTION",18,"2004"
"Mizoram","KIDNAPPING & ABDUCTION",0,"2004"
"Nagaland","KIDNAPPING & ABDUCTION",4,"2004"
"Odisha","KIDNAPPING & ABDUCTION",423,"2004"
"Punjab","KIDNAPPING & ABDUCTION",311,"2004"
"Rajasthan","KIDNAPPING & ABDUCTION",1881,"2004"
"Sikkim","KIDNAPPING & ABDUCTION",4,"2004"
"Tamil Nadu","KIDNAPPING & ABDUCTION",692,"2004"
"Tripura","KIDNAPPING & ABDUCTION",54,"2004"
"Uttar Pradesh","KIDNAPPING & ABDUCTION",2324,"2004"
"Uttarakhand","KIDNAPPING & ABDUCTION",127,"2004"
"West Bengal","KIDNAPPING & ABDUCTION",1018,"2004"
"A&N Islands","KIDNAPPING & ABDUCTION",3,"2004"
"Chandigarh","KIDNAPPING & ABDUCTION",43,"2004"
"D&N Haveli","KIDNAPPING & ABDUCTION",7,"2004"
"Daman & Diu","KIDNAPPING & ABDUCTION",0,"2004"
"Delhi UT","KIDNAPPING & ABDUCTION",881,"2004"
"Lakshadweep","KIDNAPPING & ABDUCTION",0,"2004"
"Puducherry","KIDNAPPING & ABDUCTION",8,"2004"
"ALL INDIA K&A","KIDNAPPING & ABDUCTION",15578,"2004"
"Andhra Pradesh","DOWRY DEATH",512,"2004"
"Arunachal Pradesh","DOWRY DEATH",0,"2004"
"Assam","DOWRY DEATH",74,"2004"
"Bihar","DOWRY DEATH",1029,"2004"
"Chhattisgarh","DOWRY DEATH",71,"2004"
"Goa","DOWRY DEATH",2,"2004"
"Gujarat","DOWRY DEATH",58,"2004"
"Haryana","DOWRY DEATH",251,"2004"
"Himachal Pradesh","DOWRY DEATH",8,"2004"
"Jammu & Kashmir","DOWRY DEATH",9,"2004"
"Jharkhand","DOWRY DEATH",275,"2004"
"Karnataka","DOWRY DEATH",259,"2004"
"Kerala","DOWRY DEATH",31,"2004"
"Madhya Pradesh","DOWRY DEATH",751,"2004"
"Maharashtra","DOWRY DEATH",314,"2004"
"Manipur","DOWRY DEATH",0,"2004"
"Meghalaya","DOWRY DEATH",2,"2004"
"Mizoram","DOWRY DEATH",0,"2004"
"Nagaland","DOWRY DEATH",0,"2004"
"Odisha","DOWRY DEATH",319,"2004"
"Punjab","DOWRY DEATH",113,"2004"
"Rajasthan","DOWRY DEATH",379,"2004"
"Sikkim","DOWRY DEATH",0,"2004"
"Tamil Nadu","DOWRY DEATH",225,"2004"
"Tripura","DOWRY DEATH",20,"2004"
"Uttar Pradesh","DOWRY DEATH",1708,"2004"
"Uttarakhand","DOWRY DEATH",82,"2004"
"West Bengal","DOWRY DEATH",396,"2004"
"A&N Islands","DOWRY DEATH",0,"2004"
"Chandigarh","DOWRY DEATH",6,"2004"
"D&N Haveli","DOWRY DEATH",0,"2004"
"Daman & Diu","DOWRY DEATH",0,"2004"
"Delhi UT","DOWRY DEATH",126,"2004"
"Lakshadweep","DOWRY DEATH",0,"2004"
"Puducherry","DOWRY DEATH",6,"2004"
"ALL INDIA ","DOWRY DEATH",7026,"2004"
"Andhra Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",3817,"2004"
"Arunachal Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",61,"2004"
"Assam","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",883,"2004"
"Bihar","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",704,"2004"
"Chhattisgarh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1661,"2004"
"Goa","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",23,"2004"
"Gujarat","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",757,"2004"
"Haryana","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",403,"2004"
"Himachal Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",284,"2004"
"Jammu & Kashmir","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",990,"2004"
"Jharkhand","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",411,"2004"
"Karnataka","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1435,"2004"
"Kerala","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2260,"2004"
"Madhya Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",6690,"2004"
"Maharashtra","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2831,"2004"
"Manipur","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",30,"2004"
"Meghalaya","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",34,"2004"
"Mizoram","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",66,"2004"
"Nagaland","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",3,"2004"
"Odisha","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1811,"2004"
"Punjab","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",261,"2004"
"Rajasthan","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",2825,"2004"
"Sikkim","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",40,"2004"
"Tamil Nadu","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1861,"2004"
"Tripura","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",134,"2004"
"Uttar Pradesh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1900,"2004"
"Uttarakhand","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",143,"2004"
"West Bengal","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1566,"2004"
"A&N Islands","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",6,"2004"
"Chandigarh","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",20,"2004"
"D&N Haveli","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",5,"2004"
"Daman & Diu","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",1,"2004"
"Delhi UT","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",601,"2004"
"Lakshadweep","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",0,"2004"
"Puducherry","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",50,"2004"
"All India","ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY",34567,"2004"
"Andhra Pradesh","INSULT TO THE MODESTY OF WOMEN",2310,"2004"
"Arunachal Pradesh","INSULT TO THE MODESTY OF WOMEN",0,"2004"
"Assam","INSULT TO THE MODESTY OF WOMEN",11,"2004"
"Bihar","INSULT TO THE MODESTY OF WOMEN",13,"2004"
"Chhattisgarh","INSULT TO THE MODESTY OF WOMEN",131,"2004"
"Goa","INSULT TO THE MODESTY OF WOMEN",15,"2004"
"Gujarat","INSULT TO THE MODESTY OF WOMEN",164,"2004"
"Haryana","INSULT TO THE MODESTY OF WOMEN",850,"2004"
"Himachal Pradesh","INSULT TO THE MODESTY OF WOMEN",16,"2004"
"Jammu & Kashmir","INSULT TO THE MODESTY OF WOMEN",264,"2004"
"Jharkhand","INSULT TO THE MODESTY OF WOMEN",3,"2004"
"Karnataka","INSULT TO THE MODESTY OF WOMEN",57,"2004"
"Kerala","INSULT TO THE MODESTY OF WOMEN",133,"2004"
"Madhya Pradesh","INSULT TO THE MODESTY OF WOMEN",804,"2004"
"Maharashtra","INSULT TO THE MODESTY OF WOMEN",862,"2004"
"Manipur","INSULT TO THE MODESTY OF WOMEN",0,"2004"
"Meghalaya","INSULT TO THE MODESTY OF WOMEN",0,"2004"
"Mizoram","INSULT TO THE MODESTY OF WOMEN",0,"2004"
"Nagaland","INSULT TO THE MODESTY OF WOMEN",1,"2004"
"Odisha","INSULT TO THE MODESTY OF WOMEN",170,"2004"
"Punjab","INSULT TO THE MODESTY OF WOMEN",38,"2004"
"Rajasthan","INSULT TO THE MODESTY OF WOMEN",41,"2004"
"Sikkim","INSULT TO THE MODESTY OF WOMEN",0,"2004"
"Tamil Nadu","INSULT TO THE MODESTY OF WOMEN",1081,"2004"
"Tripura","INSULT TO THE MODESTY OF WOMEN",0,"2004"
"Uttar Pradesh","INSULT TO THE MODESTY OF WOMEN",2682,"2004"
"Uttarakhand","INSULT TO THE MODESTY OF WOMEN",110,"2004"
"West Bengal","INSULT TO THE MODESTY OF WOMEN",64,"2004"
"A&N Islands","INSULT TO THE MODESTY OF WOMEN",3,"2004"
"Chandigarh","INSULT TO THE MODESTY OF WOMEN",18,"2004"
"D&N Haveli","INSULT TO THE MODESTY OF WOMEN",0,"2004"
"Daman & Diu","INSULT TO THE MODESTY OF WOMEN",0,"2004"
"Delhi UT","INSULT TO THE MODESTY OF WOMEN",130,"2004"
"Lakshadweep","INSULT TO THE MODESTY OF WOMEN",0,"2004"
"Puducherry","INSULT TO THE MODESTY OF WOMEN",30,"2004"
"All India","INSULT TO THE MODESTY OF WOMEN",10001,"2004"
"Andhra Pradesh","CRUELTY BY HUSBAND OR RELATIVES",8388,"2004"
"Arunachal Pradesh","CRUELTY BY HUSBAND OR RELATIVES",4,"2004"
"Assam","CRUELTY BY HUSBAND OR RELATIVES",1945,"2004"
"Bihar","CRUELTY BY HUSBAND OR RELATIVES",2679,"2004"
"Chhattisgarh","CRUELTY BY HUSBAND OR RELATIVES",741,"2004"
"Goa","CRUELTY BY HUSBAND OR RELATIVES",17,"2004"
"Gujarat","CRUELTY BY HUSBAND OR RELATIVES",3955,"2004"
"Haryana","CRUELTY BY HUSBAND OR RELATIVES",2026,"2004"
"Himachal Pradesh","CRUELTY BY HUSBAND OR RELATIVES",252,"2004"
"Jammu & Kashmir","CRUELTY BY HUSBAND OR RELATIVES",82,"2004"
"Jharkhand","CRUELTY BY HUSBAND OR RELATIVES",588,"2004"
"Karnataka","CRUELTY BY HUSBAND OR RELATIVES",1588,"2004"
"Kerala","CRUELTY BY HUSBAND OR RELATIVES",3222,"2004"
"Madhya Pradesh","CRUELTY BY HUSBAND OR RELATIVES",3436,"2004"
"Maharashtra","CRUELTY BY HUSBAND OR RELATIVES",5646,"2004"
"Manipur","CRUELTY BY HUSBAND OR RELATIVES",2,"2004"
"Meghalaya","CRUELTY BY HUSBAND OR RELATIVES",5,"2004"
"Mizoram","CRUELTY BY HUSBAND OR RELATIVES",0,"2004"
"Nagaland","CRUELTY BY HUSBAND OR RELATIVES",0,"2004"
"Odisha","CRUELTY BY HUSBAND OR RELATIVES",1192,"2004"
"Punjab","CRUELTY BY HUSBAND OR RELATIVES",801,"2004"
"Rajasthan","CRUELTY BY HUSBAND OR RELATIVES",6781,"2004"
"Sikkim","CRUELTY BY HUSBAND OR RELATIVES",1,"2004"
"Tamil Nadu","CRUELTY BY HUSBAND OR RELATIVES",1437,"2004"
"Tripura","CRUELTY BY HUSBAND OR RELATIVES",302,"2004"
"Uttar Pradesh","CRUELTY BY HUSBAND OR RELATIVES",4950,"2004"
"Uttarakhand","CRUELTY BY HUSBAND OR RELATIVES",405,"2004"
"West Bengal","CRUELTY BY HUSBAND OR RELATIVES",6334,"2004"
"A&N Islands","CRUELTY BY HUSBAND OR RELATIVES",5,"2004"
"Chandigarh","CRUELTY BY HUSBAND OR RELATIVES",73,"2004"
"D&N Haveli","CRUELTY BY HUSBAND OR RELATIVES",3,"2004"
"Daman & Diu","CRUELTY BY HUSBAND OR RELATIVES",4,"2004"
"Delhi UT","CRUELTY BY HUSBAND OR RELATIVES",1254,"2004"
"Lakshadweep","CRUELTY BY HUSBAND OR RELATIVES",1,"2004"
"Puducherry","CRUELTY BY HUSBAND OR RELATIVES",2,"2004"
"All India","CRUELTY BY HUSBAND OR RELATIVES",58121,"2004"
"Andhra Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",405,"2004"
"Arunachal Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2004"
"Assam","IMMORAL TRAFFIC(PREVENTION)ACT",28,"2004"
"Bihar","IMMORAL TRAFFIC(PREVENTION)ACT",24,"2004"
"Chhattisgarh","IMMORAL TRAFFIC(PREVENTION)ACT",9,"2004"
"Goa","IMMORAL TRAFFIC(PREVENTION)ACT",28,"2004"
"Gujarat","IMMORAL TRAFFIC(PREVENTION)ACT",33,"2004"
"Haryana","IMMORAL TRAFFIC(PREVENTION)ACT",62,"2004"
"Himachal Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",4,"2004"
"Jammu & Kashmir","IMMORAL TRAFFIC(PREVENTION)ACT",11,"2004"
"Jharkhand","IMMORAL TRAFFIC(PREVENTION)ACT",3,"2004"
"Karnataka","IMMORAL TRAFFIC(PREVENTION)ACT",1170,"2004"
"Kerala","IMMORAL TRAFFIC(PREVENTION)ACT",168,"2004"
"Madhya Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",23,"2004"
"Maharashtra","IMMORAL TRAFFIC(PREVENTION)ACT",309,"2004"
"Manipur","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2004"
"Meghalaya","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2004"
"Mizoram","IMMORAL TRAFFIC(PREVENTION)ACT",5,"2004"
"Nagaland","IMMORAL TRAFFIC(PREVENTION)ACT",4,"2004"
"Odisha","IMMORAL TRAFFIC(PREVENTION)ACT",22,"2004"
"Punjab","IMMORAL TRAFFIC(PREVENTION)ACT",32,"2004"
"Rajasthan","IMMORAL TRAFFIC(PREVENTION)ACT",79,"2004"
"Sikkim","IMMORAL TRAFFIC(PREVENTION)ACT",1,"2004"
"Tamil Nadu","IMMORAL TRAFFIC(PREVENTION)ACT",3022,"2004"
"Tripura","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2004"
"Uttar Pradesh","IMMORAL TRAFFIC(PREVENTION)ACT",44,"2004"
"Uttarakhand","IMMORAL TRAFFIC(PREVENTION)ACT",4,"2004"
"West Bengal","IMMORAL TRAFFIC(PREVENTION)ACT",121,"2004"
"A&N Islands","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2004"
"Chandigarh","IMMORAL TRAFFIC(PREVENTION)ACT",9,"2004"
"D&N Haveli","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2004"
"Daman & Diu","IMMORAL TRAFFIC(PREVENTION)ACT",1,"2004"
"Delhi UT","IMMORAL TRAFFIC(PREVENTION)ACT",123,"2004"
"Lakshadweep","IMMORAL TRAFFIC(PREVENTION)ACT",0,"2004"
"Puducherry","IMMORAL TRAFFIC(PREVENTION)ACT",4,"2004"
"All India","IMMORAL TRAFFIC(PREVENTION)ACT",5748,"2004"
"Andhra Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1102,"2004"
"Arunachal Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Assam","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Bihar","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Chhattisgarh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Goa","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Gujarat","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Haryana","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Himachal Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",2,"2004"
"Jammu & Kashmir","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Jharkhand","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Karnataka","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Kerala","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",45,"2004"
"Madhya Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Maharashtra","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",11,"2004"
"Manipur","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Meghalaya","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Mizoram","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Nagaland","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Odisha","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Punjab","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",2,"2004"
"Rajasthan","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",89,"2004"
"Sikkim","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Tamil Nadu","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",102,"2004"
"Tripura","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Uttar Pradesh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Uttarakhand","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"West Bengal","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",25,"2004"
"A&N Islands","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Chandigarh","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"D&N Haveli","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Daman & Diu","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Delhi UT","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Lakshadweep","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"Puducherry","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",0,"2004"
"All India","INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT",1378,"2004"
"Andhra Pradesh","TOTAL CRIMES AGAINST WOMEN",18921,"2004"
"Arunachal Pradesh","TOTAL CRIMES AGAINST WOMEN",148,"2004"
"Assam","TOTAL CRIMES AGAINST WOMEN",5700,"2004"
"Bihar","TOTAL CRIMES AGAINST WOMEN",8091,"2004"
"Chhattisgarh","TOTAL CRIMES AGAINST WOMEN",3763,"2004"
"Goa","TOTAL CRIMES AGAINST WOMEN",132,"2004"
"Gujarat","TOTAL CRIMES AGAINST WOMEN",6211,"2004"
"Haryana","TOTAL CRIMES AGAINST WOMEN",4276,"2004"
"Himachal Pradesh","TOTAL CRIMES AGAINST WOMEN",823,"2004"
"Jammu & Kashmir","TOTAL CRIMES AGAINST WOMEN",2208,"2004"
"Jharkhand","TOTAL CRIMES AGAINST WOMEN",2490,"2004"
"Karnataka","TOTAL CRIMES AGAINST WOMEN",5423,"2004"
"Kerala","TOTAL CRIMES AGAINST WOMEN",6483,"2004"
